datetime;value
2012121900;-999
2012121906;8
2012121912;8
2012121918;8
2012122000;-999
2012122006;8
2012122012;8
2012122018;8
2012122100;-999
2012122106;4
2012122112;4
2012122118;8
2012122200;-999
2012122206;8
2012122212;8
2012122218;8
2012122300;-999
2012122306;8
2012122312;8
2012122318;8
2012122400;-999
2012122406;4
2012122412;8
2012122418;8
2012122500;-999
2012122506;8
2012122512;8
2012122518;7
2012122600;-999
2012122606;8
2012122612;7
2012122618;5
2012122700;-999
2012122706;8
2012122712;8
2012122718;8
2012122800;-999
2012122806;4
2012122812;4
2012122818;7
2012122900;-999
2012122906;8
2012122912;8
2012122918;7
2012123000;-999
2012123006;8
2012123012;6
2012123018;4
2012123100;-999
2012123106;8
2012123112;7
2012123118;8
2013010100;-999
2013010106;8
2013010112;8
2013010118;8
2013010200;-999
2013010206;2
2013010212;1
2013010218;7
2013010300;-999
2013010306;8
2013010312;8
2013010318;7
2013010400;-999
2013010406;5
2013010412;8
2013010418;8
2013010500;-999
2013010506;6
2013010512;8
2013010518;8
2013010600;-999
2013010606;8
2013010612;8
2013010618;8
2013010700;-999
2013010706;8
2013010712;8
2013010718;8
2013010800;-999
2013010806;8
2013010812;8
2013010818;8
2013010900;-999
2013010906;8
2013010912;8
2013010918;2
2013011000;-999
2013011006;4
2013011012;7
2013011018;7
2013011100;-999
2013011106;8
2013011112;7
2013011118;2
2013011200;-999
2013011206;5
2013011212;6
2013011218;7
2013011300;-999
2013011306;8
2013011312;5
2013011318;8
2013011400;-999
2013011406;8
2013011412;8
2013011418;8
2013011500;-999
2013011506;8
2013011512;5
2013011518;0
2013011600;-999
2013011606;8
2013011612;8
2013011618;7
2013011700;-999
2013011706;3
2013011712;8
2013011718;8
2013011800;-999
2013011806;8
2013011812;8
2013011818;8
2013011900;-999
2013011906;8
2013011912;7
2013011918;8
2013012000;-999
2013012006;8
2013012012;7
2013012018;8
2013012100;-999
2013012106;8
2013012112;6
2013012118;7
2013012200;-999
2013012206;7
2013012212;5
2013012218;7
2013012300;-999
2013012306;8
2013012312;8
2013012318;7
2013012400;-999
2013012406;8
2013012412;6
2013012418;4
2013012500;-999
2013012506;7
2013012512;7
2013012518;5
2013012600;-999
2013012606;7
2013012612;7
2013012618;8
2013012700;-999
2013012706;8
2013012712;8
2013012718;8
2013012800;-999
2013012806;8
2013012812;8
2013012818;8
2013012900;-999
2013012906;8
2013012912;2
2013012918;7
2013013000;-999
2013013006;8
2013013012;7
2013013018;0
2013013100;-999
2013013106;7
2013013112;7
2013013118;8
2013020100;-999
2013020106;8
2013020112;7
2013020118;7
2013020200;-999
2013020206;8
2013020212;5
2013020218;1
2013020300;-999
2013020306;2
2013020312;7
2013020318;8
2013020400;-999
2013020406;8
2013020412;8
2013020418;5
2013020500;-999
2013020506;8
2013020512;8
2013020518;2
2013020600;-999
2013020606;8
2013020612;7
2013020618;7
2013020700;-999
2013020706;5
2013020712;7
2013020718;8
2013020800;-999
2013020806;8
2013020812;6
2013020818;7
2013020900;-999
2013020906;8
2013020912;8
2013020918;7
2013021000;-999
2013021006;3
2013021012;7
2013021018;7
2013021100;-999
2013021106;2
2013021112;7
2013021118;4
2013021200;-999
2013021206;8
2013021212;8
2013021218;8
2013021300;-999
2013021306;8
2013021312;7
2013021318;8
2013021400;-999
2013021406;1
2013021412;2
2013021418;8
2013021500;-999
2013021506;8
2013021512;8
2013021518;8
2013021600;-999
2013021606;8
2013021612;8
2013021618;8
2013021700;-999
2013021706;8
2013021712;8
2013021718;8
2013021800;-999
2013021806;8
2013021812;8
2013021818;8
2013021900;-999
2013021906;8
2013021912;7
2013021918;1
2013022000;-999
2013022006;7
2013022012;7
2013022018;8
2013022100;-999
2013022106;4
2013022112;7
2013022118;2
2013022200;-999
2013022206;5
2013022212;7
2013022218;1
2013022300;-999
2013022306;8
2013022312;8
2013022318;8
2013022400;-999
2013022406;8
2013022412;8
2013022418;8
2013022500;-999
2013022506;8
2013022512;8
2013022518;8
2013022600;-999
2013022606;8
2013022612;8
2013022618;8
2013022700;-999
2013022706;8
2013022712;7
2013022718;8
2013022800;-999
2013022806;8
2013022812;8
2013022818;8
2013030100;-999
2013030106;2
2013030112;1
2013030118;3
2013030200;-999
2013030206;7
2013030212;7
2013030218;8
2013030300;-999
2013030306;5
2013030312;3
2013030318;5
2013030400;-999
2013030406;2
2013030412;1
2013030418;1
2013030500;-999
2013030506;1
2013030512;5
2013030518;4
2013030600;-999
2013030606;1
2013030612;6
2013030618;5
2013030700;-999
2013030706;7
2013030712;7
2013030718;7
2013030800;-999
2013030806;8
2013030812;8
2013030818;7
2013030900;-999
2013030906;8
2013030912;7
2013030918;8
2013031000;-999
2013031006;8
2013031012;8
2013031018;8
2013031100;-999
2013031106;8
2013031112;7
2013031118;7
2013031200;-999
2013031206;2
2013031212;0
2013031218;1
2013031300;-999
2013031306;4
2013031312;7
2013031318;8
2013031400;-999
2013031406;7
2013031412;6
2013031418;2
2013031500;-999
2013031506;7
2013031512;1
2013031518;2
2013031600;-999
2013031606;7
2013031612;8
2013031618;7
2013031700;-999
2013031706;7
2013031712;6
2013031718;7
2013031800;-999
2013031806;8
2013031812;8
2013031818;8
2013031900;-999
2013031906;8
2013031912;8
2013031918;8
2013032000;-999
2013032006;8
2013032012;8
2013032018;7
2013032100;-999
2013032106;8
2013032112;7
2013032118;7
2013032200;-999
2013032206;2
2013032212;7
2013032218;5
2013032300;-999
2013032306;7
2013032312;4
2013032318;3
2013032400;-999
2013032406;4
2013032412;4
2013032418;2
2013032500;-999
2013032506;3
2013032512;7
2013032518;7
2013032600;-999
2013032606;3
2013032612;4
2013032618;5
2013032700;-999
2013032706;3
2013032712;5
2013032718;6
2013032800;-999
2013032806;7
2013032812;7
2013032818;8
2013032900;-999
2013032906;8
2013032912;8
2013032918;8
2013033000;-999
2013033006;7
2013033012;8
2013033018;8
2013033100;-999
2013033106;4
2013033112;1
2013033118;1
2013040100;-999
2013040106;1
2013040112;1
2013040118;1
2013040200;-999
2013040206;0
2013040212;1
2013040218;1
2013040300;-999
2013040306;1
2013040312;2
2013040318;3
2013040400;-999
2013040406;3
2013040412;6
2013040418;6
2013040500;-999
2013040506;7
2013040512;8
2013040518;7
2013040600;-999
2013040606;3
2013040612;4
2013040618;3
2013040700;-999
2013040706;6
2013040712;5
2013040718;7
2013040800;-999
2013040806;8
2013040812;1
2013040818;7
2013040900;-999
2013040906;7
2013040912;6
2013040918;7
2013041000;-999
2013041006;8
2013041012;8
2013041018;8
2013041100;-999
2013041106;8
2013041112;8
2013041118;8
2013041200;-999
2013041206;8
2013041212;8
2013041218;6
2013041300;-999
2013041306;8
2013041312;8
2013041318;8
2013041400;-999
2013041406;7
2013041412;7
2013041418;8
2013041500;-999
2013041506;3
2013041512;5
2013041518;7
2013041600;-999
2013041606;8
2013041612;2
2013041618;8
2013041700;-999
2013041706;7
2013041712;7
2013041718;8
2013041800;-999
2013041806;7
2013041812;3
2013041818;0
2013041900;-999
2013041906;3
2013041912;7
2013041918;5
2013042000;-999
2013042006;1
2013042012;0
2013042018;0
2013042100;-999
2013042106;3
2013042112;6
2013042118;8
2013042200;-999
2013042206;8
2013042212;7
2013042218;0
2013042300;-999
2013042306;8
2013042312;7
2013042318;6
2013042400;-999
2013042406;7
2013042412;6
2013042418;7
2013042500;-999
2013042506;5
2013042512;6
2013042518;8
2013042600;-999
2013042606;8
