MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;range;wind_dir;wind_str;prec
1977121107;4;1977;12;11;7;0.9659258262890683;-0.25881904510252063;-0.2;78.0;-1.6;83.0;2;4;5.0;12.0;6.0;2.1
1977121114;4;1977;12;11;14;-0.4999999999999997;-0.8660254037844388;-1.6;83.0;0.5;81.0;4;8;6.0;12.0;6.0;2.1
1977121121;4;1977;12;11;21;-0.7071067811865477;0.7071067811865474;0.5;81.0;2.3;87.0;4;8;6.0;12.0;4.0;2.1
1977121207;4;1977;12;12;7;0.9659258262890683;-0.25881904510252063;2.3;87.0;3.5;95.0;4;8;5.0;12.0;1.0;0.7
1977121214;4;1977;12;12;14;-0.4999999999999997;-0.8660254037844388;3.5;95.0;5.0;97.0;4;8;5.0;20.0;3.0;0.7
1977121221;4;1977;12;12;21;-0.7071067811865477;0.7071067811865474;5.0;97.0;5.0;96.0;4;8;5.0;20.0;2.0;0.7
1977121307;4;1977;12;13;7;0.9659258262890683;-0.25881904510252063;5.0;96.0;7.1;99.0;4;8;2.0;20.0;2.0;0.0
1977121314;4;1977;12;13;14;-0.4999999999999997;-0.8660254037844388;7.1;99.0;6.7;96.0;2;6;6.0;20.0;2.0;0.0
1977121321;4;1977;12;13;21;-0.7071067811865477;0.7071067811865474;6.7;96.0;6.3;89.0;3;7;6.0;24.0;1.0;0.0
1977121407;4;1977;12;14;7;0.9659258262890683;-0.25881904510252063;6.3;89.0;6.9;97.0;4;8;5.0;20.0;2.0;0.1
1977121414;4;1977;12;14;14;-0.4999999999999997;-0.8660254037844388;6.9;97.0;8.1;96.0;4;8;4.0;20.0;2.0;0.1
1977121421;4;1977;12;14;21;-0.7071067811865477;0.7071067811865474;8.1;96.0;7.6;97.0;4;8;4.0;20.0;1.0;0.1
1977121507;4;1977;12;15;7;0.9659258262890683;-0.25881904510252063;7.6;97.0;6.8;99.0;4;8;4.0;24.0;2.0;0.1
1977121514;4;1977;12;15;14;-0.4999999999999997;-0.8660254037844388;6.8;99.0;7.8;99.0;4;8;4.0;20.0;2.0;0.1
1977121521;4;1977;12;15;21;-0.7071067811865477;0.7071067811865474;7.8;99.0;7.0;99.0;4;8;4.0;28.0;1.0;0.1
1977121607;4;1977;12;16;7;0.9659258262890683;-0.25881904510252063;7.0;99.0;0.8;98.0;4;8;1.0;20.0;2.0;0.2
1977121614;4;1977;12;16;14;-0.4999999999999997;-0.8660254037844388;0.8;98.0;2.4;97.0;4;8;4.0;20.0;3.0;0.2
1977121621;4;1977;12;16;21;-0.7071067811865477;0.7071067811865474;2.4;97.0;4.4;97.0;4;8;5.0;16.0;2.0;0.2
1977121707;4;1977;12;17;7;0.9659258262890683;-0.25881904510252063;4.4;97.0;4.2;94.0;4;8;5.0;20.0;3.0;0.3
1977121714;4;1977;12;17;14;-0.4999999999999997;-0.8660254037844388;4.2;94.0;3.8;92.0;4;8;4.0;20.0;3.0;0.3
1977121721;4;1977;12;17;21;-0.7071067811865477;0.7071067811865474;3.8;92.0;5.1;97.0;4;8;5.0;24.0;3.0;0.3
1977121807;4;1977;12;18;7;0.9659258262890683;-0.25881904510252063;5.1;97.0;5.1;97.0;4;8;5.0;20.0;2.0;3.6
1977121814;4;1977;12;18;14;-0.4999999999999997;-0.8660254037844388;5.1;97.0;4.6;94.0;2;6;4.0;16.0;1.0;3.6
1977121821;4;1977;12;18;21;-0.7071067811865477;0.7071067811865474;4.6;94.0;4.8;85.0;4;8;5.0;20.0;2.0;3.6
