STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       2712;1973033121;    5;  12;   1;eor
       2712;1973040107;    5;  20;   1;eor
       2712;1973040114;    5;  20;   3;eor
       2712;1973040121;    5;  16;   2;eor
       2712;1973040207;    5;  20;   1;eor
       2712;1973040214;    5;  20;   4;eor
       2712;1973040221;    5;  20;   5;eor
       2712;1973040307;    5;  24;   3;eor
       2712;1973040314;    5;  32;   2;eor
       2712;1973040321;    5;  24;   1;eor
       2712;1973040407;    5;  32;   2;eor
       2712;1973040414;    5;  16;   2;eor
       2712;1973040421;    5;  16;   1;eor
       2712;1973040507;    5;   0;   0;eor
       2712;1973040514;    5;   8;   3;eor
       2712;1973040521;    5;  32;   1;eor
       2712;1973040607;    5;   0;   0;eor
       2712;1973040614;    5;  24;   3;eor
       2712;1973040621;    5;  16;   1;eor
       2712;1973040707;    5;  32;   1;eor
       2712;1973040714;    5;  20;   3;eor
       2712;1973040721;    5;  24;   1;eor
       2712;1973040807;    5;   0;   0;eor
       2712;1973040814;    5;   8;   1;eor
       2712;1973040821;    5;   8;   2;eor
       2712;1973040907;    5;  32;   2;eor
       2712;1973040914;    5;   4;   3;eor
       2712;1973040921;    5;  32;   1;eor
       2712;1973041007;    5;   4;   3;eor
       2712;1973041014;    5;  24;   3;eor
       2712;1973041021;    5;  24;   2;eor
       2712;1973041107;    5;  20;   2;eor
       2712;1973041114;    5;  20;   4;eor
       2712;1973041121;    5;  20;   3;eor
       2712;1973041207;    5;  28;   1;eor
       2712;1973041214;    5;  16;   4;eor
       2712;1973041221;    5;  20;   2;eor
       2712;1973041307;    5;  24;   3;eor
       2712;1973041314;    5;  32;   3;eor
       2712;1973041321;    5;  12;   1;eor
       2712;1973041407;    5;   8;   2;eor
       2712;1973041414;    5;   8;   1;eor
       2712;1973041421;    5;  16;   1;eor
       2712;1973041507;    5;   0;   0;eor
       2712;1973041514;    5;  12;   3;eor
       2712;1973041521;    5;  32;   2;eor
       2712;1973041607;    5;   0;   0;eor
       2712;1973041614;    5;  32;   1;eor
       2712;1973041621;    5;   0;   0;eor
       2712;1973041707;    5;  24;   1;eor
       2712;1973041714;    5;  24;   2;eor
       2712;1973041721;    5;  24;   2;eor
       2712;1973041807;    5;  24;   3;eor
       2712;1973041814;    5;  24;   3;eor
       2712;1973041821;    5;  20;   3;eor
       2712;1973041907;    5;  16;   4;eor
       2712;1973041914;    5;  24;   3;eor
       2712;1973041921;    5;  20;   2;eor
       2712;1973042007;    5;  24;   2;eor
       2712;1973042014;    5;   4;   2;eor
       2712;1973042021;    5;  24;   2;eor
       2712;1973042107;    5;  20;   1;eor
       2712;1973042114;    5;  32;   2;eor
       2712;1973042121;    5;  12;   1;eor
       2712;1973042207;    5;   0;   0;eor
       2712;1973042214;    5;   8;   1;eor
       2712;1973042221;    5;   8;   2;eor
       2712;1973042307;    5;   0;   0;eor
       2712;1973042314;    5;   8;   1;eor
       2712;1973042321;    5;   4;   3;eor
       2712;1973042407;    5;  32;   1;eor
       2712;1973042414;    5;  16;   1;eor
       2712;1973042421;    5;  32;   1;eor
       2712;1973042507;    5;  24;   2;eor
       2712;1973042514;    5;  32;   1;eor
       2712;1973042521;    5;   0;   0;eor
       2712;1973042607;    5;  32;   1;eor
       2712;1973042614;    5;  32;   1;eor
       2712;1973042621;    5;   0;   0;eor
       2712;1973042707;    5;   0;   0;eor
       2712;1973042714;    5;   8;   2;eor
       2712;1973042721;    5;   8;   1;eor
       2712;1973042807;    5;  12;   1;eor
       2712;1973042814;    5;   8;   1;eor
       2712;1973042821;    5;  24;   1;eor
       2712;1973042907;    5;   0;   0;eor
       2712;1973042914;    5;  20;   1;eor
       2712;1973042921;    5;  24;   2;eor
       2712;1973043007;    5;   8;   1;eor
       2712;1973043014;    5;   8;   1;eor
       2712;1973043021;    5;   8;   2;eor
       2712;1973050107;    5;   0;   0;eor
       2712;1973050114;    5;   8;   2;eor
       2712;1973050121;    5;  20;   2;eor
       2712;1973050207;    5;  32;   1;eor
       2712;1973050214;    5;  20;   1;eor
       2712;1973050221;    5;  24;   1;eor
       2712;1973050307;    5;  24;   1;eor
       2712;1973050314;    5;   0;   0;eor
       2712;1973050321;    5;  20;   1;eor
       2712;1973050407;    5;  28;   2;eor
       2712;1973050414;    5;   8;   1;eor
       2712;1973050421;    5;   8;   2;eor
       2712;1973050507;    5;  32;   1;eor
       2712;1973050514;    5;  24;   2;eor
       2712;1973050521;    5;  24;   2;eor
       2712;1973050607;    5;  32;   3;eor
       2712;1973050614;    5;  24;   1;eor
       2712;1973050621;    5;   8;   1;eor
       2712;1973050707;    5;  24;   1;eor
       2712;1973050714;    5;  12;   2;eor
       2712;1973050721;    5;  20;   3;eor
       2712;1973050807;    5;  20;   3;eor
       2712;1973050814;    5;  16;   3;eor
       2712;1973050821;    5;  20;   3;eor
       2712;1973050907;    5;  24;   3;eor
       2712;1973050914;    5;  24;   3;eor
       2712;1973050921;    5;  20;   2;eor
       2712;1973051007;    5;  16;   1;eor
       2712;1973051014;    5;   8;   1;eor
       2712;1973051021;    5;  24;   1;eor
       2712;1973051107;    5;  24;   1;eor
       2712;1973051114;    5;   8;   2;eor
       2712;1973051121;    5;   0;   0;eor
       2712;1973051207;    5;  24;   1;eor
       2712;1973051214;    5;  12;   1;eor
       2712;1973051221;    5;  32;   2;eor
       2712;1973051307;    5;  24;   1;eor
       2712;1973051314;    5;   4;   1;eor
       2712;1973051321;    5;   8;   1;eor
       2712;1973051407;    5;   0;   0;eor
       2712;1973051414;    5;  24;   3;eor
       2712;1973051421;    5;  16;   2;eor
       2712;1973051507;    5;  32;   1;eor
       2712;1973051514;    5;  32;   3;eor
       2712;1973051521;    5;   4;   1;eor
       2712;1973051607;    5;   4;   2;eor
       2712;1973051614;    5;   4;   2;eor
       2712;1973051621;    5;   4;   3;eor
       2712;1973051707;    5;   4;   2;eor
       2712;1973051714;    5;   4;   3;eor
       2712;1973051721;    5;  32;   2;eor
       2712;1973051807;    5;  32;   1;eor
       2712;1973051814;    5;  32;   1;eor
       2712;1973051821;    5;  32;   2;eor
       2712;1973051907;    5;  24;   2;eor
       2712;1973051914;    5;  12;   2;eor
       2712;1973051921;    5;  20;   2;eor
       2712;1973052007;    5;  32;   1;eor
       2712;1973052014;    5;   8;   2;eor
       2712;1973052021;    5;   0;   0;eor
       2712;1973052107;    5;   4;   1;eor
       2712;1973052114;    5;  24;   2;eor
       2712;1973052121;    5;  24;   2;eor
       2712;1973052207;    5;  24;   2;eor
       2712;1973052214;    5;  32;   2;eor
       2712;1973052221;    5;   4;   1;eor
       2712;1973052307;    5;  20;   1;eor
       2712;1973052314;    5;   4;   2;eor
       2712;1973052321;    5;  24;   1;eor
       2712;1973052407;    5;  20;   1;eor
       2712;1973052414;    5;  20;   3;eor
       2712;1973052421;    5;  32;   3;eor
       2712;1973052507;    5;  32;   1;eor
       2712;1973052514;    5;  32;   1;eor
       2712;1973052521;    5;   4;   1;eor
       2712;1973052607;    5;   8;   1;eor
       2712;1973052614;    5;   4;   2;eor
       2712;1973052621;    5;   4;   2;eor
       2712;1973052707;    5;   4;   2;eor
       2712;1973052714;    5;   4;   2;eor
       2712;1973052721;    5;   4;   2;eor
       2712;1973052807;    5;  32;   1;eor
       2712;1973052814;    5;   0;   0;eor
       2712;1973052821;    5;  24;   2;eor
       2712;1973052907;    5;  24;   1;eor
       2712;1973052914;    5;  24;   1;eor
       2712;1973052921;    5;  24;   2;eor
       2712;1973053007;    5;   0;   0;eor
       2712;1973053014;    5;   8;   1;eor
       2712;1973053021;    5;   8;   1;eor
       2712;1973053107;    5;   0;   0;eor
       2712;1973053114;    5;   8;   1;eor
       2712;1973053121;    5;  32;   1;eor
       2712;1973060107;    5;  24;   1;eor
       2712;1973060114;    5;   8;   1;eor
       2712;1973060121;    5;  24;   3;eor
       2712;1973060207;    5;  24;   3;eor
       2712;1973060214;    5;  24;   3;eor
       2712;1973060221;    5;  20;   1;eor
       2712;1973060307;    5;  32;   1;eor
       2712;1973060314;    5;  32;   1;eor
       2712;1973060321;    5;  32;   1;eor
       2712;1973060407;    5;   0;   0;eor
       2712;1973060414;    5;  32;   2;eor
       2712;1973060421;    5;  32;   2;eor
       2712;1973060507;    5;   0;   0;eor
       2712;1973060514;    5;   4;   3;eor
       2712;1973060521;    5;  32;   3;eor
       2712;1973060607;    5;   4;   2;eor
       2712;1973060614;    5;   4;   2;eor
       2712;1973060621;    5;   4;   2;eor
       2712;1973060707;    5;  32;   1;eor
       2712;1973060714;    5;  32;   3;eor
       2712;1973060721;    5;  28;   1;eor
